scenario,repeat_id,n,events,symbol,tcga_log_hr,log_hr,hr,p_value,same_tcga_direction
full_cohort,237,73,16,TNIP1,-0.414945866298316,0.32937686942766853,1.390101643692409,0.23308175732244366,FALSE
full_cohort,237,73,16,TCIRG1,0.4257531411377312,0.4228080432792629,1.5262412955715075,0.1408037630855776,TRUE
full_cohort,237,73,16,LTB4R,0.4152348937982004,0.17458606218512165,1.1907532167991437,0.5257935545867093,TRUE
full_cohort,237,73,16,LRBA,-0.42337150345977026,-0.5471368070557349,0.578604096146294,0.07822553587823446,TRUE
full_cohort,237,73,16,GRAMD1A,0.4057580580941821,0.4238373497728597,1.5278130744301563,0.11648695726644885,TRUE
full_cohort,237,73,16,IFFO1,0.4086497996244981,0.35446327649876364,1.425415394992012,0.150585635915838,TRUE
full_cohort,237,73,16,TNFAIP2,0.42728551519013547,0.16710870976953937,1.1818827405253245,0.548935318239837,TRUE
size_matched_39,237,39,9,CYFIP2,-0.4403276873957715,0.3232652290649645,1.381631751210976,0.3749819736051771,FALSE
size_matched_39,237,39,9,CRYL1,-0.4562451822719112,0.1191230681800111,1.1265085471144396,0.7361841091391421,FALSE
size_matched_39,237,39,9,HHLA2,-0.46651200190082415,-0.13381674975693816,0.8747503481308012,0.7026462750678322,TRUE
size_matched_39,237,39,9,DDC,-0.4170476451847731,0.6012774740786051,1.82444799735376,0.16573345781170576,FALSE
size_matched_39,237,39,9,KL,-0.4143562134600067,0.6823178382567834,1.9784581678562363,0.08195746364975065,FALSE
size_matched_39,237,39,9,RBM47,-0.406043543125073,0.11628641326458733,1.1233175591126203,0.7334226924632069,FALSE
size_matched_39,237,39,9,PANK1,-0.4732407037257613,0.24223179855123933,1.274089490688154,0.4810886090855406,FALSE
size_matched_39,237,39,9,GJB1,-0.4272749730657404,0.3787064111980098,1.460394217409659,0.3724475652808702,FALSE
size_matched_39,237,39,9,ACADM,-0.4484141243283115,-0.19980968663715948,0.8188865833086784,0.6232639269478661,TRUE
size_matched_39,237,39,9,CLCN5,-0.4176541545204886,0.6211519301299031,1.8610706308865779,0.06635030981227835,FALSE
size_matched_39,237,39,9,TMEM140,-0.4073424327415841,-0.09083024538570096,0.9131727130244185,0.7880922054425356,TRUE
size_matched_39,237,39,9,C1QTNF6,0.43509983532112984,0.2034675064099756,1.2256453313772482,0.563695855707645,TRUE
size_matched_39,237,39,9,CADPS2,-0.41010601450174866,0.1056658237449795,1.1114503941093452,0.7645856033293685,FALSE
size_matched_39,237,39,9,KNTC1,0.41317926152804135,0.1520060555867745,1.1641672861267884,0.6425677359524562,TRUE
size_matched_39,237,39,9,PODXL,-0.41295393620776416,-0.008754090342264466,0.9912841151405649,0.9792652368171677,TRUE
size_matched_39,237,39,9,HIBCH,-0.4099623749107515,0.22596141177713916,1.2535272929543493,0.5160201789980658,FALSE
size_matched_39,237,39,9,TNIP1,-0.414945866298316,-0.16577537342467913,0.8472365246554718,0.67812847204385,TRUE
size_matched_39,237,39,9,TCIRG1,0.4257531411377312,0.13965605864308084,1.1498782401544176,0.7210755970159077,TRUE
size_matched_39,237,39,9,LTB4R,0.4152348937982004,-0.7094201301351556,0.49192936978872714,0.08500152412749622,FALSE
size_matched_39,237,39,9,LRBA,-0.42337150345977026,-0.44223531180876563,0.6425984066698861,0.2090161502268581,TRUE
size_matched_39,237,39,9,GRAMD1A,0.4057580580941821,0.21286169230339327,1.2372135232571022,0.5774122264717617,TRUE
size_matched_39,237,39,9,IFFO1,0.4086497996244981,-0.17372368771090255,0.8405291140983955,0.6352458679592136,FALSE
size_matched_39,237,39,9,TNFAIP2,0.42728551519013547,-0.6074779257671532,0.5447229698434731,0.15426140222923987,FALSE
full_cohort,238,73,16,CYFIP2,-0.4403276873957715,-0.2653092677429618,0.7669687146098337,0.28813967644744026,TRUE
full_cohort,238,73,16,CRYL1,-0.4562451822719112,-0.41358963577051655,0.6612722580754641,0.06272481017756756,TRUE
full_cohort,238,73,16,HHLA2,-0.46651200190082415,-0.6206745904899841,0.5375816677672284,0.018990562567680423,TRUE
full_cohort,238,73,16,DDC,-0.4170476451847731,-0.3829063916994257,0.681876725620093,0.1148125486994415,TRUE
full_cohort,238,73,16,KL,-0.4143562134600067,-0.13963963291381357,0.869671579949089,0.574939933811336,TRUE
full_cohort,238,73,16,RBM47,-0.406043543125073,-0.3566273277644032,0.700033332115598,0.18313780145191058,TRUE
full_cohort,238,73,16,PANK1,-0.4732407037257613,-0.3259159500560424,0.7218658576668969,0.2607567637378631,TRUE
full_cohort,238,73,16,GJB1,-0.4272749730657404,-0.2972335686241227,0.7428704808608557,0.21535268791878526,TRUE
full_cohort,238,73,16,ACADM,-0.4484141243283115,-0.7170296022899165,0.48820025324569244,8.900595199926498e-4,TRUE
full_cohort,238,73,16,CLCN5,-0.4176541545204886,-0.2828036160321976,0.7536677815967978,0.29282785654938615,TRUE
full_cohort,238,73,16,TMEM140,-0.4073424327415841,-0.4002250336032648,0.6701692184716109,0.1046814450820927,TRUE
full_cohort,238,73,16,C1QTNF6,0.43509983532112984,0.1795548158529023,1.196684499551126,0.49807245774673026,TRUE
full_cohort,238,73,16,CADPS2,-0.41010601450174866,-0.5135128929254611,0.5983898029896927,0.023798364442485714,TRUE
full_cohort,238,73,16,KNTC1,0.41317926152804135,0.46376602719191096,1.590050898240682,0.05552364617311133,TRUE
full_cohort,238,73,16,PODXL,-0.41295393620776416,-0.6192352774471912,0.5383559731734748,0.004613457570387255,TRUE
full_cohort,238,73,16,HIBCH,-0.4099623749107515,-0.8127427267689712,0.443639613801178,0.0037546227634982486,TRUE
full_cohort,238,73,16,TNIP1,-0.414945866298316,0.25788542993434277,1.2941905346354206,0.3660263031260929,FALSE
full_cohort,238,73,16,TCIRG1,0.4257531411377312,0.5448213913717962,1.724300379945835,0.05177479616699857,TRUE
full_cohort,238,73,16,LTB4R,0.4152348937982004,0.0974043243740052,1.1023059727040307,0.726100777624461,TRUE
full_cohort,238,73,16,LRBA,-0.42337150345977026,-0.5091864147009816,0.6009843319815502,0.03045230457520169,TRUE
full_cohort,238,73,16,GRAMD1A,0.4057580580941821,0.6601839960160873,1.935148361236273,0.0065608187835570425,TRUE
full_cohort,238,73,16,IFFO1,0.4086497996244981,0.14116750425679234,1.151617532668709,0.5929239707538941,TRUE
full_cohort,238,73,16,TNFAIP2,0.42728551519013547,0.14593108725067194,1.157116445227646,0.5897597749375147,TRUE
size_matched_39,238,39,9,CYFIP2,-0.4403276873957715,-0.3490833439307221,0.7053343424836099,0.30565236344559266,TRUE
size_matched_39,238,39,9,CRYL1,-0.4562451822719112,-0.5376329085973965,0.5841293046456955,0.16674961176267314,TRUE
size_matched_39,238,39,9,HHLA2,-0.46651200190082415,-0.491485103277073,0.6117172559679581,0.16492085114424782,TRUE
size_matched_39,238,39,9,DDC,-0.4170476451847731,-0.27769904285219243,0.7575247697053804,0.4113806790421939,TRUE
size_matched_39,238,39,9,KL,-0.4143562134600067,-0.08335282820991424,0.9200264786518415,0.8085449596334403,TRUE
size_matched_39,238,39,9,RBM47,-0.406043543125073,-0.8010397278723241,0.44886202705518996,0.07783953637685007,TRUE
size_matched_39,238,39,9,PANK1,-0.4732407037257613,-0.2611743317160579,0.7701466469248502,0.47950894396145677,TRUE
size_matched_39,238,39,9,GJB1,-0.4272749730657404,-0.3113860415912542,0.732431072429215,0.25068764687800094,TRUE
size_matched_39,238,39,9,ACADM,-0.4484141243283115,-1.5178639633871653,0.21917956285901657,0.003886964957948228,TRUE
size_matched_39,238,39,9,CLCN5,-0.4176541545204886,0.1295061237390673,1.138266081885917,0.7042291013002057,FALSE
size_matched_39,238,39,9,TMEM140,-0.4073424327415841,0.14176377652179484,1.1523044150274286,0.6875032028936949,FALSE
size_matched_39,238,39,9,C1QTNF6,0.43509983532112984,0.6674389657105849,1.9492388552008575,0.07498936322386299,TRUE
size_matched_39,238,39,9,CADPS2,-0.41010601450174866,-0.21519307352255818,0.8063857334122932,0.5077744200096135,TRUE
size_matched_39,238,39,9,KNTC1,0.41317926152804135,0.8167399944339776,2.26311004734763,0.02833432296959297,TRUE
size_matched_39,238,39,9,PODXL,-0.41295393620776416,-0.510057266341711,0.6004611916118777,0.11625949560946446,TRUE
size_matched_39,238,39,9,HIBCH,-0.4099623749107515,-1.2812911310781891,0.27767854950077225,0.0028528179612753992,TRUE
size_matched_39,238,39,9,TNIP1,-0.414945866298316,0.16190680749120184,1.1757506650610374,0.6516933671663945,FALSE
size_matched_39,238,39,9,TCIRG1,0.4257531411377312,0.6498905561950922,1.9153311964088167,0.09030757695694047,TRUE
size_matched_39,238,39,9,LTB4R,0.4152348937982004,0.08523794640107973,1.0889761538294165,0.8102386040179022,TRUE
size_matched_39,238,39,9,LRBA,-0.42337150345977026,-0.4463675801237651,0.6399484964754439,0.18720928947795623,TRUE
size_matched_39,238,39,9,GRAMD1A,0.4057580580941821,0.7739146435929427,2.1682375391258546,0.020634875426898503,TRUE
size_matched_39,238,39,9,IFFO1,0.4086497996244981,0.34402023835776724,1.410607183591645,0.3739885198338425,TRUE
size_matched_39,238,39,9,TNFAIP2,0.42728551519013547,0.46870767583642475,1.5979278175610694,0.20874048095354503,TRUE
full_cohort,239,73,16,CYFIP2,-0.4403276873957715,-0.23292895396175162,0.7922098548966579,0.35919243231779296,TRUE
full_cohort,239,73,16,CRYL1,-0.4562451822719112,-0.25690017037950424,0.7734454226745368,0.26397517814808197,TRUE
full_cohort,239,73,16,HHLA2,-0.46651200190082415,-0.5232646261667009,0.5925828253236628,0.037298108983974364,TRUE
full_cohort,239,73,16,DDC,-0.4170476451847731,-0.14800510017475602,0.8624267164038609,0.5495983477048136,TRUE
full_cohort,239,73,16,KL,-0.4143562134600067,0.13088739000824434,1.1398394167772352,0.6219164276774057,FALSE
full_cohort,239,73,16,RBM47,-0.406043543125073,-0.41004374832309487,0.6636212171858304,0.12481269757379743,TRUE
full_cohort,239,73,16,PANK1,-0.4732407037257613,0.25983600068403256,1.2967174084587179,0.3482835909645682,FALSE
full_cohort,239,73,16,GJB1,-0.4272749730657404,-0.05557167620391089,0.945944219549724,0.8366159378610749,TRUE
full_cohort,239,73,16,ACADM,-0.4484141243283115,-0.5572075178657468,0.572806384160767,0.03305540878144484,TRUE
full_cohort,239,73,16,CLCN5,-0.4176541545204886,0.16367224973440053,1.1778282183131348,0.5461078531569823,FALSE
full_cohort,239,73,16,TMEM140,-0.4073424327415841,-0.2968122534648588,0.7431835293972284,0.23646677857220136,TRUE
full_cohort,239,73,16,C1QTNF6,0.43509983532112984,0.36519596079726035,1.440796320082851,0.18080062755519208,TRUE
full_cohort,239,73,16,CADPS2,-0.41010601450174866,-0.07272937720772911,0.9298524352416291,0.7715389536822638,TRUE
full_cohort,239,73,16,KNTC1,0.41317926152804135,0.5376680571868638,1.712009894476633,0.03347504788078022,TRUE
full_cohort,239,73,16,PODXL,-0.41295393620776416,-0.3298626582283999,0.7190224784718752,0.14466984621837495,TRUE
full_cohort,239,73,16,HIBCH,-0.4099623749107515,-0.37572734882240744,0.6867895614998126,0.21331136905238615,TRUE
full_cohort,239,73,16,TNIP1,-0.414945866298316,-0.07240008089346978,0.9301586826416619,0.795806400389624,TRUE
full_cohort,239,73,16,TCIRG1,0.4257531411377312,0.3208594750600151,1.3783118800899457,0.2865130561254164,TRUE
full_cohort,239,73,16,LTB4R,0.4152348937982004,-0.012073460180805472,0.9879991316012038,0.9667243733879437,FALSE
full_cohort,239,73,16,LRBA,-0.42337150345977026,-0.17459062907245282,0.8398007404180512,0.5554602697543483,TRUE
full_cohort,239,73,16,GRAMD1A,0.4057580580941821,0.24609221547960772,1.2790175133171353,0.36942333072809463,TRUE
full_cohort,239,73,16,IFFO1,0.4086497996244981,0.1416532540150216,1.1521770664924833,0.597634519283796,TRUE
full_cohort,239,73,16,TNFAIP2,0.42728551519013547,0.12627143344280983,1.1345900921856118,0.6483224247748705,TRUE
size_matched_39,239,39,9,CYFIP2,-0.4403276873957715,-0.022876734090377084,0.9773829543470847,0.9514148877319385,TRUE
size_matched_39,239,39,9,CRYL1,-0.4562451822719112,-0.19611730882763925,0.8219158110424137,0.5789942933531232,TRUE
size_matched_39,239,39,9,HHLA2,-0.46651200190082415,-0.20865315741063054,0.811676710878922,0.5361941105609904,TRUE
size_matched_39,239,39,9,DDC,-0.4170476451847731,-0.056594206557909026,0.9449774572281894,0.8881386121964999,TRUE
size_matched_39,239,39,9,KL,-0.4143562134600067,0.10271308642548747,1.108173413464323,0.7822853714430874,FALSE
size_matched_39,239,39,9,RBM47,-0.406043543125073,0.01699537164630337,1.0171406146278226,0.9671173516579107,FALSE
size_matched_39,239,39,9,PANK1,-0.4732407037257613,0.08007493167251412,1.0833682432280243,0.8446866889571445,FALSE
