accession,symbol,log2FoldChange,AveExpr,t,pvalue,padj,B,significant
GSE40435,ATP1A1,-2.1622552823927403,11.967404974183168,-36.97064381182137,9.505288680264696e-61,1.1024022582733655e-57,128.26423850073016,TRUE
GSE40435,SLC47A2,-4.15980087230693,9.22507604141089,-36.94902935976356,1.0046286862335104e-60,1.1059206071722718e-57,128.20931308063635,TRUE
GSE40435,ACY1,-3.7916930543168355,11.015682547257425,-36.94149947063367,1.0241967684740335e-60,1.1059206071722718e-57,128.19017181734608,TRUE
GSE40435,PTH1R,-3.77803549878713,9.82872403723515,-36.9043330130614,1.1265662886559104e-60,1.1759098920990393e-57,128.0956422386611,TRUE
GSE40435,OVOL2,-1.1047625048316825,7.134732950782178,-36.764722370466046,1.6124701225548257e-60,1.6288028844413488e-57,127.73979482040238,TRUE
GSE40435,TMEM178,-1.8610011202475267,8.052122788163366,-36.58910037233255,2.5358424319685754e-60,2.4814803098332492e-57,127.29044608357299,TRUE
GSE40435,NDUFA4L2,4.969905224900997,10.65092216180693,36.56519979837664,2.697395851895364e-60,2.5595834456439827e-57,127.22914546528432,TRUE
GSE40435,DHRS11,-1.1443181459158422,8.08751815206188,-36.374255865408095,4.4235861211446743e-60,4.074122817574245e-57,126.7381263644198,TRUE
GSE40435,HADH,-2.129678499554456,11.211013205965347,-36.3575124654744,4.6201763838703216e-60,4.1336058081290074e-57,126.69496103634484,TRUE
GSE40435,FLJ20920,-2.9624974783465343,8.705105961688119,-36.0787285342893,9.554040680911993e-60,8.310423052279949e-57,125.97364001410932,TRUE
GSE40435,ATP6V0A4,-1.56268351222525,7.520120885035891,-35.98285316278915,1.2279541011444447e-59,1.0392474249523553e-56,125.72443295259441,TRUE
GSE40435,AFM,-4.1339470643564376,8.944900120712871,-35.94318833085961,1.3625343430322753e-59,1.1228000109924387e-56,125.62116118032236,TRUE
GSE40435,PALM,-1.1074970032310238,8.330490986427392,-35.817164286100315,1.8972793939441256e-59,1.523369408768368e-56,125.29237427097618,TRUE
GSE40435,HRG,-1.1024014719009907,7.2134039422920795,-35.6364922771978,3.055064196503756e-59,2.3916570062329653e-56,124.8192300718132,TRUE
GSE40435,C7orf41,-2.424794127811883,9.770453824133664,-35.406293376736876,5.622423508615846e-59,4.294160237775526e-56,124.21331481189083,TRUE
GSE40435,SUCLG1,-2.342474999455447,11.303323139777227,-35.37032469077516,6.186532417794721e-59,4.612501812638664e-56,124.11832756494098,TRUE
GSE40435,CAV2,1.7741709501848186,8.907344913858086,35.350458963981254,6.522236187452048e-59,4.749704743578451e-56,124.06582914776115,TRUE
GSE40435,ABHD14A,-1.4465851768118814,8.856649907673267,-35.309537265173255,7.272849232437174e-59,5.175954565103129e-56,123.95760520738159,TRUE
GSE40435,CLDN8,-3.723735377544559,8.72755560221287,-35.27855247149781,7.898706973668624e-59,5.49644689274354e-56,123.87558773119565,TRUE
GSE40435,SLC15A4,1.6749205403465361,9.297595859792079,35.22969245662251,8.997972552190419e-59,6.125272010854148e-56,123.74612562532607,TRUE
GSE40435,TUBB2B,-2.458999490257428,8.67786977669307,-35.15691371439013,1.0928469325756675e-58,7.281150818441374e-56,123.55299495812892,TRUE
GSE40435,FXYD4,-4.034565283247529,8.702389454207921,-35.07244617247923,1.3699918310880819e-58,8.937484208060873e-56,123.32840637079832,TRUE
GSE40435,CRYAA,-4.3111588570198025,9.228298132351485,-34.97567572215393,1.7759087214990834e-58,1.1349144021433121e-55,123.07052317655396,TRUE
GSE40435,ENPP6,-2.6262943149405955,8.039831803391088,-34.8493994397324,2.4939361936987864e-58,1.5586751719536063e-55,122.73307011531398,TRUE
GSE40435,LOC650200,-1.5592648659207917,7.638827043762376,-34.842814808862315,2.5385589119765574e-58,1.5586751719536063e-55,122.71544445917874,TRUE
GSE40435,APEH,-1.3773909363069314,10.174201243727722,-34.56024157226461,5.448462549831996e-58,3.281022236258445e-55,121.95630429693719,TRUE
GSE40435,UQCRC1,-1.4882645767524763,10.691680061227723,-34.50014312464291,6.413772178566362e-58,3.789450226408058e-55,121.79415128744171,TRUE
GSE40435,ALDH6A1,-3.3961549910247557,9.931467246126237,-34.42338971180199,7.901988009134169e-58,4.5822750466301365e-55,121.58670350031989,TRUE
GSE40435,NICN1,-1.1256927827128715,9.184249458841585,-34.32058596948582,1.0456450588350367e-57,5.9533326131564254e-55,121.30821669436423,TRUE
GSE40435,TCF21,-1.5013412003366324,7.992050213326733,-34.30829859176293,1.0812958089636e-57,6.046374457479674e-55,121.27488276155654,TRUE
GSE40435,FREM1,-1.4497098192970301,7.543371864638614,-34.15387673577456,1.649323992881583e-57,9.060865177735771e-55,120.85507260018846,TRUE
GSE40435,NETO2,2.645485556396041,8.65208607829703,34.04426369627274,2.2278451783995625e-57,1.2028059295931707e-54,120.55608012647542,TRUE
GSE40435,ANXA9,-1.2284024889801979,7.424459291826732,-33.97129012506688,2.7227798035227076e-57,1.4451038435171198e-54,120.35656721174857,TRUE
GSE40435,PLXNB1,-1.4820757050099012,8.763634524712872,-33.94935456785259,2.892233985835146e-57,1.4956682616462982e-54,120.29652200672103,TRUE
GSE40435,MT1H,-3.434638166450498,9.119964957507426,-33.94668410265831,2.913577440136175e-57,1.4956682616462982e-54,120.28920973054801,TRUE
GSE40435,BHLHB3,2.1675312012277237,8.128902734564356,33.849117409321416,3.81271437327972e-57,1.925666740078728e-54,120.02171094665647,TRUE
GSE40435,EMX1,-1.6624580826881206,8.162051424809405,-33.79830500041883,4.3871171253771565e-57,2.1806061216517504e-54,119.88213473878281,TRUE
GSE40435,ESRRG,-0.8069270642079215,7.35004645140099,-33.56420842985254,8.393683830165476e-57,4.0541636435152195e-54,119.2367508161128,FALSE
GSE40435,TFCP2L1,-2.190949446237624,8.055304303227723,-33.563277770968966,8.415425586909666e-57,4.0541636435152195e-54,119.23417734537756,TRUE
GSE40435,PFKFB4,2.0134370493465363,8.371549337742575,33.19845079465262,2.3308127552304196e-56,1.1058647063225054e-53,118.22059921391258,TRUE
GSE40435,ACOT11,-1.298427669143565,7.879866612977723,-32.922353019430155,5.070331327962947e-56,2.3697366448333096e-53,117.44716984605812,TRUE
GSE40435,PAQR7,-1.6722667588514855,8.769042040762375,-32.87707179736314,5.76257920287067e-56,2.6536677229219434e-53,117.31979566597302,TRUE
GSE40435,CASR,-2.131174070346535,7.728440865579208,-32.806690993663146,7.032864729748345e-56,3.1916974803962273e-53,117.12152013668268,TRUE
GSE40435,SLC15A2,-0.7270516481485153,7.14748379190594,-32.77309410218358,7.7354470343440105e-56,3.4603969776206907e-53,117.02674373234078,FALSE
GSE40435,CD5L,-1.9882945067326754,7.670389042742574,-32.67158743187011,1.0319055499108885e-55,4.551139491536559e-53,116.73989130820449,TRUE
GSE40435,PTGER1,-1.9529465904059407,7.832209282113861,-32.50316257430075,1.667302484737153e-55,7.251376389869334e-53,116.26225548937707,TRUE
GSE40435,TMEM213,-2.957062387762378,8.30879173631683,-32.30646483733561,2.9275229559963307e-55,1.2557870389598506e-52,115.70177478585276,TRUE
GSE40435,FGF9,-2.713191115782179,8.323437221069307,-32.173520912000605,4.28982297881321e-55,1.8152907670075253e-52,115.32131897073917,TRUE
GSE40435,TCEAL2,-2.0127448900990097,7.943741240475248,-32.1671593368544,4.3691198902047e-55,1.824194936558266e-52,115.30308026771284,TRUE
GSE40435,MT1G,-5.338518954851488,11.664498447792079,-31.97983515304651,7.502541251646498e-55,3.091244430974453e-52,114.76465018622758,TRUE
GSE40435,PCSK1N,-2.776251239782177,8.851005035049505,-31.955292633158866,8.054833857251333e-55,3.2757021741034837e-52,114.69391015521451,TRUE
GSE40435,ProSAPiP1,-1.1674911468514872,7.705416802376238,-31.94101903009686,8.394724208150426e-55,3.37015889556439e-52,114.65274764293918,TRUE
GSE40435,REEP6,-2.145307277712873,7.997460944747525,-31.908597810007123,9.2215172428722915e-55,3.655222670168391e-52,114.55919307516747,TRUE
GSE40435,CAV1,2.1767867510099017,9.257331591554456,31.86997075681836,1.0314581507308147e-54,4.037385066498091e-52,114.4476264626146,TRUE
