clinical_c,gene_c,delta_c,clinical_brier3,gene_brier3,delta_brier3,clinical_calibration_slope,gene_calibration_slope,simulation,fold,selected_gene
0.711523588553751,0.711523588553751,0,0.14502620212658712,0.14502620212658712,0,0.786124970780585,0.786124970780585,1,1,NA
0.7214411247803163,0.7214411247803163,0,0.12628417853404142,0.12628417853404142,0,1.1598644532356563,1.1598644532356563,2,2,NA
0.7475982532751092,0.7475982532751092,0,0.10358223719468643,0.10358223719468643,0,0.9837241382114846,0.9837241382114846,3,3,NA
0.7751111111111111,0.7751111111111111,0,0.08004881332612285,0.08004881332612285,0,1.1132442395136868,1.1132442395136868,4,4,NA
0.7620041753653445,0.7620041753653445,0,0.09694291719112398,0.09694291719112398,0,0.9231496685823808,0.9231496685823808,5,5,NA
0.7592033796016898,0.7592033796016898,0,0.13534679911216735,0.13534679911216735,0,1.0507970487658091,1.0507970487658091,6,1,NA
0.750285062713797,0.750285062713797,0,0.13787874751126056,0.13787874751126056,0,1.2165311233259568,1.2165311233259568,7,2,NA
0.6801922050186866,0.6801922050186866,0,0.13770429281906862,0.13770429281906862,0,0.8386105984090142,0.8386105984090142,8,3,NA
0.648590021691974,0.648590021691974,0,0.13736457937365268,0.13736457937365268,0,0.881461336805988,0.881461336805988,9,4,NA
0.8200950441276307,0.8200950441276307,0,0.1172393355434713,0.1172393355434713,0,1.3227186769249415,1.3227186769249415,10,5,NA
0.764073694984647,0.764073694984647,0,0.12877899054107403,0.12877899054107403,0,1.2592607204488164,1.2592607204488164,11,1,NA
0.7033898305084746,0.7033898305084746,0,0.116148471015004,0.116148471015004,0,1.1622554755747239,1.1622554755747239,12,2,NA
0.7511705685618729,0.7511705685618729,0,0.1141356156850684,0.1141356156850684,0,1.1558264397883886,1.1558264397883886,13,3,NA
0.7770437654830719,0.7770437654830719,0,0.0897958301511298,0.0897958301511298,0,1.0801102570701304,1.0801102570701304,14,4,NA
0.7219193020719739,0.7219193020719739,0,0.1437769622194126,0.1437769622194126,0,1.0007130414963552,1.0007130414963552,15,5,NA
0.6560463432295438,0.6560463432295438,0,0.13930077700677168,0.13930077700677168,0,0.641664339729802,0.641664339729802,16,1,NA
