repeat_id,symbol,oob_n,oob_events,clinical_c_index,clinical_gene_c_index,delta_c_index
1,CYFIP2,191,64,0.778189247861065,0.8127953007278763,0.03460605286681129
1,CRYL1,191,64,0.778189247861065,0.7807432001021581,0.002553952241093116
1,DDC,191,64,0.778189247861065,0.7666964627761461,-0.01149278508491891
1,KL,191,64,0.778189247861065,0.7836802451794151,0.0054909973183501215
1,PANK1,191,64,0.778189247861065,0.8001532371344655,0.021963989273400486
1,IQGAP2,191,64,0.778189247861065,0.8034733750478866,0.025284127186821603
1,ACADM,191,64,0.778189247861065,0.8111352317711659,0.03294598391010084
1,FUT6,191,64,0.778189247861065,0.7825309666709233,0.0043417188098582304
1,CLCN5,191,64,0.778189247861065,0.7951730302643341,0.016983782403269032
1,CADPS2,191,64,0.778189247861065,0.7826586642829779,0.004469416421912897
1,TEK,191,64,0.778189247861065,0.7803601072659941,0.0021708594049291152
1,EMCN,191,64,0.778189247861065,0.7725705529306601,-0.005618694930404899
1,HIBCH,191,64,0.778189247861065,0.7932575660835142,0.01506831822244914
1,TCIRG1,191,64,0.778189247861065,0.8052611416166517,0.027071893755586718
1,PODXL,191,64,0.778189247861065,0.7721874600944962,-0.006001787766568789
1,LRBA,191,64,0.778189247861065,0.7947899374281702,0.016600689567105142
1,GRAMD1A,191,64,0.778189247861065,0.788149661601328,0.009960413740263019
1,IFFO1,191,64,0.778189247861065,0.7831694547311965,0.004980206870131454
1,ACAT1,191,64,0.778189247861065,0.8023240965393947,0.024134848678329712
1,DBT,191,64,0.778189247861065,0.7993870514621377,0.021197803601072707
1,TNFAIP2,191,64,0.778189247861065,0.8002809347465203,0.022091686885455264
1,FHOD1,191,64,0.778189247861065,0.7954284254884434,0.017239177627378366
2,CYFIP2,195,61,0.7198868229587712,0.7405012126111561,0.020614389652384935
2,CRYL1,195,61,0.7198868229587712,0.7555914847749933,0.035704661816222116
2,DDC,195,61,0.7198868229587712,0.7462947992454864,0.026407976286715207
2,PANK1,195,61,0.7198868229587712,0.753839935327405,0.03395311236863385
2,ACADM,195,61,0.7198868229587712,0.74184855834007,0.021961735381298864
2,FUT6,195,61,0.7198868229587712,0.7388843977364592,0.018997574777688042
2,CLCN5,195,61,0.7198868229587712,0.7522231204527081,0.03233629749393696
2,C1QTNF6,195,61,0.7198868229587712,0.7390191323093506,0.019132309350579413
2,FHOD1,195,61,0.7198868229587712,0.71880894637564,-0.0010778765831311876
3,CRYL1,185,65,0.7433910034602076,0.7414532871972318,-0.001937716262975786
3,DDC,185,65,0.7433910034602076,0.7426989619377162,-6.920415224913601e-4
3,PANK1,185,65,0.7433910034602076,0.7638754325259516,0.020484429065743992
3,CLCN5,185,65,0.7433910034602076,0.75280276816609,0.009411764705882453
3,CADPS2,185,65,0.7433910034602076,0.765121107266436,0.021730103806228418
3,IFFO1,185,65,0.7433910034602076,0.7615224913494809,0.018131487889273323
3,ACAT1,185,65,0.7433910034602076,0.7532179930795848,0.009826989619377224
3,DBT,185,65,0.7433910034602076,0.7500346020761246,0.006643598615917012
3,TNFAIP2,185,65,0.7433910034602076,0.7611072664359861,0.01771626297577855
4,CYFIP2,186,59,0.7730585926548921,0.7908606672273619,0.01780207457246985
