draw,delta_c
1,-1.1799177990601262e-5
2,0.004432438495475977
3,4.602223170708797e-4
4,0.011879029553162135
5,0.0027697262479871145
6,0.012800447177193985
7,0.011821000134789072
8,-0.004211177562384016
9,0.00566850166239713
10,9.143020411078395e-4
11,0.015850187548300764
12,0.006337064796439362
13,0.005091953594210452
14,1.650990594357138e-4
15,0.00447116287807624
16,3.162612498645023e-4
17,-0.006449225759902344
18,0.0026369338563846712
19,1.2482102867211742e-4
20,0.0018951937288357646
21,0.010732035900890202
22,0.00769346837926026
23,0.012148611506018403
24,0.015423120886051012
25,-0.0018625851105734004
26,0.00993911174785097
27,0.010664438088017347
28,-0.007252987050153837
29,0.012403967282340634
30,0.00405457375698196
31,0.009644431596444325
32,0.009113183536249491
33,-0.0051842681649367
34,-0.006108013937282208
35,0.006476213291808919
36,0.004928973210029575
37,0.0033716105029691244
38,0.014259772352853074
39,0.00926342025263871
40,7.434023045469474e-5
41,0.0010566063881382926
42,0.007029701233311691
43,0.01263333510817669
44,-0.00841763871229293
45,0.01111423220973784
46,-5.476596551070801e-4
47,-0.0010002718129926591
48,0.01047792749199732
49,-0.003511115016255173
50,0.009120367753725577
51,0.003841887490095941
52,-0.0039743784687903735
53,0.009047333732774132
54,-0.0027273391545796664
55,0.004591498452924692
56,0.015061979962642236
57,0.010773720045981094
58,0.015791539895966246
59,-0.007666468006718319
60,-0.0015822211486201
61,0.01845681176155225
62,-0.005968702127246983
63,-0.001616352425419687
64,-0.0031088822658076444
65,3.7151702786376585e-4
66,2.815179447581584e-4
67,0.011868110428250932
68,-0.003316385730258842
69,0.0081251861622909545
70,0.0023332007651080456
71,-0.0012995687187511984
72,-0.005500945179584116
73,0.0012578616352201144
74,0.00984614809414316
75,-5.000088340783471e-4
76,7.694394914334546e-4
77,0.004824145264191093
78,0.002672223584211808
79,-0.003263471305972332
80,-0.009756421759213119
81,-0.005784633639869507
82,-0.0032991554931419698
83,0.013970324707906257
84,0.016196059586737154
85,0.012242488536034513
86,0.011201880247919748
87,8.505318385834237e-4
88,0.002205734910767998
89,0.006630700325732886
90,0.013205459240132777
91,0.005005756998055821
92,0.002334551702066734
93,0.015138969873663732
94,6.296559063497575e-4
95,0.022203173445194246
96,0.0016752624455905417
97,0.0014260739751320805
98,-0.004916214463670188
99,0.005743394536497981
100,0.00932422844980486
101,0.015182576572553652
102,-0.0017457415070734395
103,-0.0059976424638012674
104,0.007298755725332428
105,0.007955760368663588
106,0.01262009251571583
107,0.014336250911743242
108,0.004955819511841808
109,-0.004605428864820904
110,0.007939465808346058
111,0.00974728623771528
