repeat_id,symbol,n_tested,clinical_c_index,clinical_gene_c_index,delta_c_index
1,CYFIP2,517,0.7374125874125874,0.7552999631947,0.017887375782112636
1,CRYL1,517,0.7374125874125874,0.7567721751932278,0.019359587780640397
1,HHLA2,517,0.7374125874125874,0.7654214206845786,0.028008833271991218
1,DDC,517,0.7374125874125874,0.7583364004416636,0.0209238130290762
1,KL,517,0.7374125874125874,0.7584652189915349,0.021052631578947434
1,PANK1,517,0.7374125874125874,0.7535517114464483,0.016139124033860863
1,IQGAP2,517,0.7374125874125874,0.7541037909458962,0.016691203533308774
1,ACADM,517,0.7374125874125874,0.7551343393448657,0.017721751932278318
1,FUT6,517,0.7374125874125874,0.7540853882959146,0.016672800883327232
1,CLCN5,517,0.7374125874125874,0.7532940743467059,0.015881486934118505
1,C1QTNF6,517,0.7374125874125874,0.7509385351490614,0.013525947736473976
1,CADPS2,517,0.7374125874125874,0.7504968715495031,0.013084284136915647
1,TEK,517,0.7374125874125874,0.7608391608391609,0.023426573426573505
1,EMCN,517,0.7374125874125874,0.7572874493927125,0.019874861980125114
1,HIBCH,517,0.7374125874125874,0.7456385719543615,0.008225984541774034
1,TCIRG1,517,0.7374125874125874,0.7495583364004417,0.012145748987854255
1,PODXL,517,0.7374125874125874,0.756716967243283,0.01930437983069555
1,LRBA,517,0.7374125874125874,0.7516378358483622,0.014225248435774773
1,GRAMD1A,517,0.7374125874125874,0.7512881854987118,0.013875598086124374
1,IFFO1,517,0.7374125874125874,0.7516562384983438,0.014243651085756426
1,ACAT1,517,0.7374125874125874,0.7453441295546559,0.007931542142068482
1,DBT,517,0.7374125874125874,0.7445712182554287,0.007158630842841296
1,TNFAIP2,517,0.7374125874125874,0.7517298490982702,0.014317261685682814
1,FHOD1,517,0.7374125874125874,0.7421420684578579,0.004729481045270489
2,CYFIP2,517,0.7478100846521899,0.7755612808244388,0.02775119617224886
2,CRYL1,517,0.7478100846521899,0.7702981229297019,0.022488038277512
2,HHLA2,517,0.7478100846521899,0.7633051159366948,0.015495031284504912
2,DDC,517,0.7478100846521899,0.7635995583364004,0.015789473684210464
2,KL,517,0.7478100846521899,0.7656054471843945,0.017795362532204595
2,PANK1,517,0.7478100846521899,0.7743651085756349,0.026555023923444998
2,IQGAP2,517,0.7478100846521899,0.7736842105263158,0.025874125874125853
2,ACADM,517,0.7478100846521899,0.7739050423260949,0.026094957673905017
2,FUT6,517,0.7478100846521899,0.7617592933382407,0.013949208686050762
2,CLCN5,517,0.7478100846521899,0.7704453441295547,0.022635259477364778
2,C1QTNF6,517,0.7478100846521899,0.7665255796834745,0.018715495031284557
2,CADPS2,517,0.7478100846521899,0.7586308428413692,0.01082075818917927
2,TEK,517,0.7478100846521899,0.7662495399337504,0.018439455281560546
2,EMCN,517,0.7478100846521899,0.7625506072874494,0.01474052263525949
2,HIBCH,517,0.7478100846521899,0.7618145012881855,0.014004416635995609
2,TCIRG1,517,0.7478100846521899,0.7651637835848362,0.017353698932646267
2,PODXL,517,0.7478100846521899,0.7647957305852042,0.016985645933014326
2,LRBA,517,0.7478100846521899,0.7630106735369893,0.01520058888479936
2,GRAMD1A,517,0.7478100846521899,0.7673168936326831,0.019506808980493173
2,IFFO1,517,0.7478100846521899,0.7625322046374678,0.014722119985277948
2,ACAT1,517,0.7478100846521899,0.7656054471843945,0.017795362532204595
2,DBT,517,0.7478100846521899,0.7596061832903938,0.011796098638203856
2,TNFAIP2,517,0.7478100846521899,0.7618513065881487,0.014041221935958803
2,FHOD1,517,0.7478100846521899,0.7540301803459698,0.0062200956937799035
3,CYFIP2,517,0.742546926757453,0.7609863820390137,0.018439455281560657
3,CRYL1,517,0.742546926757453,0.7647589252852411,0.0222119985277881
3,HHLA2,517,0.742546926757453,0.7624401913875598,0.019893264630106766
3,DDC,517,0.742546926757453,0.7600478468899521,0.017500920132499043
