path,bytes,md5,provenance
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/05aedbb7-c56c-4756-b8e8-302afaedcb4c/666b7828-2433-452a-9ae4-f93d8bb1dc07.rna_seq.augmented_star_gene_counts.tsv,4232427,e1acfcf0da7ae789abc0b39cb8b0b527,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/05becc45-68e1-4706-a225-3a805bd7ba56/ff7cdc45-a66a-4b2c-b96c-70756f32f74b.rna_seq.augmented_star_gene_counts.tsv,4233011,dc463c1edc686dbf7edaa24a5fc3b1fc,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/0626d61a-3222-49c5-b6f0-4b59c5835d29/4252d504-9d47-4e8a-8aa0-f3af157e5679.rna_seq.augmented_star_gene_counts.tsv,4231095,503c2075736f8622564786133cfceb8e,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/063830a5-bb8f-4d58-98d6-c49ea4f1f66d/8ab025fe-d2bc-4ea0-9b76-c70c80c96a31.rna_seq.augmented_star_gene_counts.tsv,4241456,796e9852127cba025a80c48eb4055c8a,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/06632416-4901-4939-b250-35cd1b8b8323/a8776da2-d821-41c3-8530-0bbb29536a43.rna_seq.augmented_star_gene_counts.tsv,4225812,e3f92f6e38a3209f6902d4b8b8d5a5b8,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/0666c919-fe81-415e-84ea-c782234e3aa0/fcfd97d0-70ee-4b14-8953-63e96f62f04a.rna_seq.augmented_star_gene_counts.tsv,4228854,d345467277f9b1820fd791fd479351bc,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/0699530d-22a4-4fb0-a17c-ff78397c5316/29c9d4b8-b879-49d8-82e6-fd5ac79c2e6c.rna_seq.augmented_star_gene_counts.tsv,4241561,c72c3d1dfbb4f317e2732bf21b7f650c,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/06f37a68-0ffa-494c-9b43-00fc1e8b9ad2/60138dcd-4d62-4768-8b01-7d215d06858a.rna_seq.augmented_star_gene_counts.tsv,4244800,108f90b12cf5d5d28636c759d2142895,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/07857799-d6eb-4a80-83b5-aad368e6cd3c/fe2ff90c-705c-4322-bcc2-641eb4c14c46.rna_seq.augmented_star_gene_counts.tsv,4228097,25cfac37e4c64108f24b4ba0929029f9,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/07868319-1d09-49ca-b198-5677d151d36d/267adf6f-194c-4071-b80a-66258a68be8e.rna_seq.augmented_star_gene_counts.tsv,4229461,b1709b95bfd825f080840f7687a373c9,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/07b09d0e-fac2-42a7-9cac-ac1e38a92298/e7da171a-02e6-4369-a961-885bc2f7e0ba.rna_seq.augmented_star_gene_counts.tsv,4238090,b42e322a2ee3afc2f59467f9acf2519e,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/0897b313-4bb5-4b3c-8146-6b90b58b904c/3e0685e1-e0b3-4f7e-9f30-4c3b0457db77.rna_seq.augmented_star_gene_counts.tsv,4230883,e597832f8c3a3eacbf21c0179eda7a50,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/08e51a10-bb34-448d-bc76-c02834852933/d3a67b19-5e2e-48ec-a887-a2d605861717.rna_seq.augmented_star_gene_counts.tsv,4240997,b2166e719155da90eff65e01cb8aa66a,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/09b9e5e0-8901-452c-8c4b-baca1faddddc/62166c5e-1359-40e2-a83f-5a5b8447f15c.rna_seq.augmented_star_gene_counts.tsv,4263382,75fd6cb0280ae5df82122a51ebab40fd,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/09c297be-f824-4a0b-ae20-57ecf089a7d5/4b03eb21-6063-4248-8372-d06c76047db0.rna_seq.augmented_star_gene_counts.tsv,4247283,2faf6ad493738ec94388f937c3f48596,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/0a98d561-9c8c-40d2-aaaf-cad735533329/bf9bece0-fb79-4722-a830-308cc5403c0f.rna_seq.augmented_star_gene_counts.tsv,4233898,b36efd8192fc81a4c1ac75164d533553,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/0af91fa3-3ad9-4ba3-9e29-8bd565871d69/2e7eb4b8-4f9a-48ff-9d0a-d54af72e50b1.rna_seq.augmented_star_gene_counts.tsv,4230661,1cf64ee29e3a7dd1d61cac29b5721ae3,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/0b4cbedf-b064-4d5a-aa85-8726640d9c63/2b4ee053-96f0-467d-9873-d4de666c4200.rna_seq.augmented_star_gene_counts.tsv,4222551,cf351c12a97835a196cd9c0bc8716c5a,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/0bbde4ab-4f9d-478b-a168-055e489b53f2/06a9adb9-0cc7-4e06-abbe-894f1883ed9f.rna_seq.augmented_star_gene_counts.tsv,4247601,11ecfc20c0de0c722c8237ad7123432f,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/0c1c9170-9092-449e-afc2-0ef1d28ae07e/c0ef5bce-a76c-4fe7-99a6-9e3045eedea6.rna_seq.augmented_star_gene_counts.tsv,4245483,cee6b18ce39fe57451932efe07956f74,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/0c25f495-ae84-45a3-8c7a-5521ddcccf70/91b22fd4-4b09-4b8c-9ee6-08c66b8ad324.rna_seq.augmented_star_gene_counts.tsv,4225946,2d07c253647edd5cee0ee7451bca7fb0,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/0c5ce27e-46a9-4868-880d-c7e87391cdf9/e1cfed22-6157-4030-971a-8a9fa033aa8d.rna_seq.augmented_star_gene_counts.tsv,4238911,4fc82eb0b7ae3ac59ffa4b6efa414f3b,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/0cb86c23-556d-4c56-b6cd-96dbbaff1441/3562d885-15d7-415a-bdf7-731c8bbae36b.rna_seq.augmented_star_gene_counts.tsv,4240756,912eaeb89eab661e15e2780a38007fd5,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/0e7e953c-82c3-4887-86b5-584d41cfe518/4551fe9f-b4ff-4556-a2ae-bd7234a979ba.rna_seq.augmented_star_gene_counts.tsv,4249804,1d42f4505aa3e6836aa54bebe51f5420,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/0f8d808c-2f62-4720-b32c-b5e76adab4ba/f995acfb-82fc-47ae-bba9-de699337ee15.rna_seq.augmented_star_gene_counts.tsv,4249841,67029f0599eb48fbca2b0e3807a15750,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/0fbdc947-5a9e-47de-b4fa-bbbf1ba4fd6b/5c1d9af2-e798-4e2f-83af-05c27225e3e0.rna_seq.augmented_star_gene_counts.tsv,4246293,a6fcd8d81c7eb941ac5a08b9424f0d39,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/1078f9da-8238-45d4-ac09-a4b5d3b75743/92e7f40f-841b-4c2f-90f5-36f5ce6bb364.rna_seq.augmented_star_gene_counts.tsv,4217450,b25e9d67ec135874dc44962f326497c1,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/114e63e4-03a5-409e-835f-afa8af005d03/7dd55f05-23aa-407f-8214-5584d1130569.rna_seq.augmented_star_gene_counts.tsv,4241529,b0338351a944121e8812a35d7e60dd18,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/1164d793-7d50-42c9-9b8c-74affd93964d/002049e1-5d2b-4019-a9ed-61a90fd952ce.rna_seq.augmented_star_gene_counts.tsv,4244542,61ae135adf65a31548ce0ea56036d4a9,cached public input; original retrieval date unknown
data/raw/TCGA-KIRC/Transcriptome_Profiling/Gene_Expression_Quantification/1263f317-119b-428c-96b1-c187e54bb275/92cb59ee-23f2-412b-a039-e4040218c207.rna_seq.augmented_star_gene_counts.tsv,4245460,816f9e5ee5179b522e76feb0cb39b7dd,cached public input; original retrieval date unknown
