symbol,tier,pathway_class,main_hr,main_hr_ci_low,main_hr_ci_high,main_log_hr,main_fdr,main_ph_p_value,main_n,main_events,ph_diagnostic_p_ge_0_05,main_warning_count,main_warning_text,stage_complete_log_hr,stage_complete_p_value,grade_complete_log_hr,grade_complete_p_value,sensitivity_pass
ALS2CL,strict_only,Unclassified,1.4537633386766802,1.254005936677324,1.6853411798673064,0.3741556001666352,2.3639185338214345e-5,0.5938038988073897,517,170,TRUE,0,NA,0.3551043800533094,2.080021588179459e-6,0.3091913222054639,2.4933678712739544e-5,TRUE
TSPAN1,strict_only,Unclassified,0.6896401010495367,0.5953335271756415,0.798885745998474,-0.3715854101494456,2.376931263940749e-5,0.3966651445651237,517,170,TRUE,0,NA,-0.3932439438244383,1.3738980962513192e-7,-0.2653951775662535,2.636705548793399e-4,TRUE
PECAM1,strict_only,Unclassified,0.7032186835779387,0.6116787040205253,0.8084579595180663,-0.35208736359845977,2.376931263940749e-5,0.3713922000289514,517,170,TRUE,0,NA,-0.3616514545179781,1.940865943071589e-7,-0.38004951091851713,7.944450897415177e-8,TRUE
KDR,strict_only,Unclassified,0.693779351859573,0.5997246118391253,0.8025846856453589,-0.3656013058297208,2.6812912708137547e-5,0.817480545459279,517,170,TRUE,0,NA,-0.383762281464856,1.018188082748008e-7,-0.40436368234797454,1.263994866762006e-8,TRUE
SLC22A6,strict_only,Unclassified,0.6816839659755752,0.5851011624981376,0.7942097183402338,-0.3831891215360805,2.6941733899552344e-5,0.32595536384823176,517,170,TRUE,0,NA,-0.3978487893067487,2.6635610089157105e-7,-0.40462870355867664,1.0708920024196825e-7,TRUE
TUBB2B,strict_only,Unclassified,1.449498591388776,1.2476877727731157,1.6839518766528048,0.3712176975879841,3.5466445905854947e-5,0.6795429700600781,517,170,TRUE,0,NA,0.3638559837169309,9.243242005432792e-7,0.30672555581429073,1.846366982559076e-5,TRUE
WDR72,strict_only,Unclassified,0.7194797421323279,0.6297027447149676,0.8220562855782275,-0.32922690853082637,3.724223437197212e-5,0.5130813019157431,517,170,TRUE,0,NA,-0.35912363513930107,3.5638603178462664e-8,-0.3806442751717087,1.5913778271090331e-9,TRUE
TRMT1,strict_only,Unclassified,1.4345496256257106,1.239360886924961,1.6604789211065905,0.36085095021226726,3.76711391744721e-5,0.4075732131419837,517,170,TRUE,0,NA,0.3539094554695426,2.8580180950133544e-6,0.35987126779027845,4.89143965983898e-7,TRUE
GNRH1,strict_only,Unclassified,1.437900936019916,1.2409519101877935,1.6661073526161592,0.3631843668144981,3.800305669445729e-5,0.11428023154381146,517,170,TRUE,0,NA,0.3660710858398933,1.185856719461543e-6,0.4116443529405872,8.971163490260467e-8,TRUE
NTN4,strict_only,Unclassified,0.7115433887276447,0.6196963523270511,0.8170033471083242,-0.340318881262867,3.88615635919575e-5,0.33190537365409056,517,170,TRUE,0,NA,-0.3748622391570303,5.0436592171915825e-8,-0.3498664114738878,2.149398422894156e-7,TRUE
CAT,strict_only,Metabolism,0.7014625529780097,0.6069883292793072,0.8106411433225583,-0.3545877622215348,4.2649465389675024e-5,0.45596351582970385,517,170,TRUE,0,NA,-0.3709676422738443,2.443052932521106e-7,-0.3895554749796698,3.1632716790236064e-8,TRUE
ACADSB,strict_only,Metabolism,0.6729139723779896,0.5724067988504019,0.7910688956366991,-0.39613778458378185,4.320803847783538e-5,0.9341829926785844,517,170,TRUE,0,NA,-0.41338018386318576,3.356309702937035e-7,-0.5339484668450762,2.6491868174368215e-11,TRUE
COL4A4,strict_only,Unclassified,0.7128023389834423,0.6206015403327948,0.8187011172866354,-0.33855112142878574,4.354243097529363e-5,0.2773277924803375,517,170,TRUE,0,NA,-0.37309107063723174,3.112286933606545e-8,-0.3234697548971459,3.438530808207368e-6,TRUE
CPEB4,strict_only,Unclassified,0.6801455104781224,0.580807738186912,0.7964734024853424,-0.38544851770648375,4.4423466408889725e-5,0.5840330101683547,517,170,TRUE,0,NA,-0.4100624399142182,2.00582969844894e-7,-0.3828082566422363,1.1253701775812234e-6,TRUE
SLC27A2,strict_only,Metabolism,0.7027092248352517,0.6080151109083757,0.8121512867185517,-0.3528120931694956,4.5740538918272807e-5,0.9256568621967188,517,170,TRUE,0,NA,-0.3737424919128679,1.7742047627802754e-7,-0.3835404582350476,2.5624514652459464e-8,TRUE
ZNF337,strict_only,Unclassified,1.4498583306414523,1.2437881929952046,1.6900700543460805,0.3714658486533384,5.14319621658802e-5,0.06054710134953078,517,170,TRUE,0,NA,0.3666044190376735,2.3367654898878153e-6,0.37186932409562173,2.8687751345871435e-6,TRUE
KCNJ16,strict_only,Unclassified,0.7393549942002172,0.6522526412114846,0.8380890668889761,-0.3019771023329256,5.587537086259904e-5,0.6000343971120786,517,170,TRUE,0,NA,-0.2686309963055642,1.6394447386514997e-5,-0.28596477609226695,2.688991603651415e-6,TRUE
TMEM174,strict_only,Unclassified,0.686117562067649,0.5865630910122215,0.8025689242827684,-0.3767062926625181,5.821712992403625e-5,0.7657898737053314,517,170,TRUE,0,NA,-0.3966797087687774,7.436521554978246e-7,-0.40812686768927264,1.1346562365222348e-7,TRUE
PLCL1,strict_only,Unclassified,0.6809194067586412,0.5802208746638859,0.7990943772388862,-0.3843113252711801,5.821712992403625e-5,0.9260045201172604,517,170,TRUE,0,NA,-0.4199134889583632,1.2971861089035118e-7,-0.41566102013172246,1.568264989967974e-7,TRUE
