cohort,arm,evaluation,n,events,c_index,delta_c,delta_c_ci_low,delta_c_ci_high,brier,delta_brier3,calibration_slope,genes_used
TCGA-KIRC,clinical_plus_clearcode34,nested,517,NA,0.7564188443135812,0.012854251012145757,-0.0018208447590600362,0.028738089027453596,0.14467093871790374,-0.004599663877593976,0.8309546623740195,33
E-MTAB-1980,clinical_limited,in_sample_previously_inspected,101,23,0.7816419612314709,0,NA,NA,0.09592072791082643,0,0.9999999999999997,NA
E-MTAB-1980,subtype,in_sample_previously_inspected,101,23,0.693557582668187,-0.08808437856328388,-0.21677395996073487,0.03571601906687841,0.11910293698652481,0.023182209075698387,0.9999999999999991,NA
E-MTAB-1980,clinical_plus_subtype,in_sample_previously_inspected,101,23,0.8167046750285063,0.035062713797035405,-0.0483093999093346,0.11534935835422451,0.0862925145203389,-0.009628213390487528,0.9999999998255386,NA
E-MTAB-1980,clinical_plus_top_gene,in_sample_previously_inspected,101,23,0.7850627137970354,0.003420752565564511,-0.0649356848697715,0.07029059302859068,0.09202143982368156,-0.0038992880871448615,0.9999999998132928,NA
E-MTAB-1980,clinical_plus_signed_panel,in_sample_previously_inspected,101,23,0.8129988597491449,0.03135689851767398,-0.050374325489849194,0.10820843353155794,0.07915848744912782,-0.016762240461698608,0.9999999999999997,22
E-MTAB-1980,unadjusted_top_gene,in_sample_previously_inspected,101,23,0.6411060433295325,-0.14053591790193842,-0.293190432527349,-0.010306642555797201,0.11525761075836838,0.019336882847541953,0.9999999999999999,NA
E-MTAB-1980,unadjusted_signed_panel,in_sample_previously_inspected,101,23,0.7348916761687572,-0.046750285062713726,-0.1927032321018078,0.08380451492469022,0.09753671555792877,0.0016159876471023432,0.9999999999999997,NA
