repeat_id,clinical_c,gene_c,delta_c,clinical_brier3,gene_brier3,delta_brier3,clinical_calibration_slope,gene_calibration_slope
1,0.7399521531100478,0.7407434670592565,7.913139492087273e-4,0.1501395563452076,0.14636626566734715,-0.003773290677860447,0.8267686285944591,0.7492012537724128
2,0.749815973500184,0.7481045270518955,-0.0017114464482885783,0.14861237069059052,0.14034632287707335,-0.008266047813517169,0.9187124712472395,0.7557693879115706
3,0.7414979757085021,0.7514722119985278,0.009974236290025695,0.14787672135669286,0.14701114157261486,-8.655797840780022e-4,0.8935946682923819,0.8106263662988067
4,0.7356275303643725,0.7503680529996319,0.01474052263525949,0.1500918681152765,0.14860386146446694,-0.001488006650809559,0.7830886721685502,0.7926129850059471
5,0.7446448288553552,0.7426021347073979,-0.0020426941479573246,0.14988658091942292,0.14572587724178673,-0.004160703677636185,0.8586179788922745,0.7270726638631149
6,0.7370997423629002,0.7413691571586308,0.0042694147957306194,0.150959882262014,0.14835149176030457,-0.00260839050170944,0.740179487958015,0.7135414318998143
7,0.7520426941479573,0.7631762973868237,0.011133603238866363,0.14909571997806786,0.15180465391382605,0.00270893393575819,0.9178037821360564,0.8070428618619825
8,0.7465403018034598,0.7467243283032756,1.8402649981585917e-4,0.14782069797851183,0.15034358067155282,0.0025228826930409898,0.9044363503661962,0.8007551775696922
9,0.7365844681634155,0.7288369525211631,-0.0077475156422524005,0.1489730242480569,0.15545795976393734,0.006484935515880447,0.803124802885774,0.5843043936830844
10,0.7518402649981597,0.7610967979389032,0.009256532940743467,0.1492496040611361,0.14989013134394616,6.40527282810055e-4,0.9240951377894367,0.8749212938276155
