ID,Description,term_size,overlap,gene_ratio,background_ratio,pvalue,p.adjust,genes
GO:0007051,spindle organization,18,7,0.0058823529411764705,7.605526682722779e-4,1.5572071948439698e-5,0.0012671773548042803,10403;1062;10636;1107;259266;7272;9212
GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,13,6,0.005042016806722689,5.492880381966452e-4,2.0175870203989436e-5,0.0015103633795515946,3111;3113;3115;3117;3120;3122
GO:0042592,homeostatic process,13,6,0.005042016806722689,5.492880381966452e-4,2.0175870203989436e-5,0.0015103633795515946,10891;2494;283;523;5314;7477
GO:0000281,mitotic cytokinesis,66,13,0.010924369747899159,0.002788693116998352,2.088059971730315e-5,0.0015103633795515946,10112;1058;24137;257364;288;332;51203;5347;54443;55143;55165;79784;9212
GO:0001525,angiogenesis,238,28,0.023529411764705882,0.010056196391600119,2.7024048742872627e-5,0.0018849273998153657,10016;101;10451;10481;11082;1295;146850;187;221981;22918;2321;27329;283;3162;3791;51129;5587;56917;57125;58504;6278;634;6464;7010;7127;81575;83478;8829
GO:0001501,skeletal system development,98,16,0.013445378151260505,0.004140786749482402,2.9146800567379263e-5,0.001962886258899714,1277;1298;145864;1749;1750;2121;3207;4982;5307;6474;649;655;7020;7092;9241;9573
GO:0001822,kidney development,78,14,0.011764705882352941,0.0032957282291798708,3.063615891638367e-5,0.0019944139454565767,1063;1579;1592;27031;3158;3248;4311;5176;5629;64220;6495;6569;7020;847
GO:0008652,amino acid biosynthetic process,27,8,0.0067226890756302525,0.0011408290024084169,3.75841765932762e-5,0.0023678031253764006,102724560;2805;29968;440;54363;5831;586;875
GO:0007018,microtubule-based movement,81,14,0.011764705882352941,0.0034224870072252504,4.741473717259415e-5,0.002865928372450712,10112;1062;11004;146909;147700;23303;24137;3798;3831;3833;3834;56992;81930;9928
GO:0000278,mitotic cell cycle,124,18,0.015126050420168067,0.005239362825875692,4.842582503372939e-5,0.002865928372450712,10309;10403;1062;1063;146909;220134;22974;257364;332;347733;4602;5347;55143;55743;56992;81930;84617;9212
GO:0034332,adherens junction organization,28,8,0.0067226890756302525,0.0011830819284235432,5.030710219175184e-5,0.0028896991347203333,1003;1004;1008;1012;1016;60437;64403;999
GO:0050778,positive regulation of immune response,36,9,0.007563025210084034,0.0015211053365445557,5.47315745490933e-5,0.003054021859839406,3111;3113;3115;3117;3120;3122;567;717;727
GO:0046777,protein autophosphorylation,93,15,0.012605042016806723,0.003929522119406769,5.9315695179660735e-5,0.003217876463496595,10783;11200;1196;120892;2321;3643;3791;4293;4914;53904;5587;5753;7786;84206;9833
GO:0009636,response to toxic substance,64,12,0.010084033613445379,0.002704187264968099,7.16706416766362e-5,0.0037830476539046074,10249;2053;210;22977;23657;3934;5444;5446;670;847;9376;999
GO:0006814,sodium ion transport,140,19,0.015966386554621848,0.005915409642117717,7.725603391719362e-5,0.003970553532638924,10050;10246;10991;159963;476;481;53827;57835;6326;6328;6329;6330;6523;6546;6561;6568;6569;83959;9498
GO:0050830,defense response to Gram-positive bacterium,86,14,0.011764705882352941,0.0036337516373008832,9.341601728062092e-5,0.004677986711514171,1113;115361;1401;219972;254773;283;3133;4069;567;57817;7432;837;84868;8809
GO:0006826,iron ion transport,23,7,0.0058823529411764705,9.718172983479105e-4,9.612351107568149e-5,0.004693230428270149,3934;51312;55240;6556;7018;7036;84102
GO:0030199,collagen fibril organization,57,11,0.009243697478991597,0.002408416782862213,1.0845191094479923e-4,0.005166014196955924,1277;1286;1287;1289;1301;140766;50509;649;7092;84695;871
GO:0007166,cell surface receptor signaling pathway,340,34,0.02857142857142857,0.014365994845143027,1.1389882066715019e-4,0.005184280216991876,1003;10379;11025;11027;120892;1524;177;1840;1906;1951;1956;23547;2642;29121;3559;5028;51267;51466;5175;55558;573;57556;6344;7010;7018;7039;727;729230;8321;84689;8718;8740;8795;948
GO:0051256,mitotic spindle midzone assembly,11,5,0.004201680672268907,4.6478218616639205e-4,1.1414441850007716e-4,0.005184280216991876,24137;332;55143;9055;9212
GO:0010039,response to iron ion,17,6,0.005042016806722689,7.182997422571513e-4,1.2227946056028537e-4,0.005427540601687212,18;210;57817;595;6531;7036
GO:0007599,hemostasis,50,10,0.008403361344537815,0.0021126463007563275,1.6227618372535428e-4,0.007042786373680375,2157;2313;5028;5328;5340;5627;64805;7450;8858;9002
GO:0120162,positive regulation of cold-induced thermogenesis,102,15,0.012605042016806723,0.004309798453542908,1.7368867940158254e-4,0.007308810360099953,1051;10891;153;2104;2171;2628;2887;3033;3566;3934;43;729230;8864;94097;948
GO:0006865,amino acid transport,70,12,0.010084033613445379,0.0029577048210588583,1.75890469495493e-4,0.007308810360099953,10991;11136;118980;23657;340024;55356;56301;57709;6531;8501;92745;94097
GO:0015747,urate transport,12,5,0.004201680672268907,5.070351121815186e-4,1.8757044201753382e-4,0.007631772359588407,10050;10246;116085;6568;9390
GO:0090307,mitotic spindle assembly,42,9,0.007563025210084034,0.001774622892635315,1.975441201782445e-4,0.007873544218532888,11200;22974;29128;332;3833;55143;56992;9212;9639
GO:0010628,positive regulation of gene expression,366,35,0.029411764705882353,0.015464570921536316,2.1749060151677574e-4,0.008441212060903503,1003;100506658;1051;10551;10891;114897;117854;132430;1401;1435;1512;158800;2053;2113;2642;268;288;3934;4613;5080;5324;54566;5587;5600;655;6556;7020;7049;7098;7273;7291;7349;8728;9241;948
GO:0030335,positive regulation of cell migration,269,28,0.023529411764705882,0.011366037098069041,2.2880260334170817e-4,0.008441212060903503,1003;1012;11170;1277;1435;1512;177;1906;1956;2146;2321;27329;3643;3791;4192;5175;5328;5420;54437;56920;57580;6356;6367;7130;7291;80310;8877;9037
GO:0007200,phospholipase C-activating G protein-coupled receptor signaling pathway,116,16,0.013445378151260505,0.004901339417754679,2.2907539130972128e-4,0.008441212060903503,1241;146;1524;1606;1607;2867;5028;5330;553;5587;56923;5731;5733;64805;719;9002
GO:0051056,regulation of small GTPase mediated signal transduction,116,16,0.013445378151260505,0.004901339417754679,2.2907539130972128e-4,0.008441212060903503,10451;10928;1124;1795;23092;23616;393;50650;57580;58504;6494;81704;83478;89839;9138;9639
GO:0007204,positive regulation of cytosolic calcium ion concentration,128,17,0.014285714285714285,0.005408374529936198,2.3517363515722784e-4,0.008479372411141398,10800;10874;114897;1235;146;1524;1906;2826;2829;5028;553;5731;5733;6288;719;729230;948
GO:0006635,fatty acid beta-oxidation,43,9,0.007563025210084034,0.0018168758186504416,2.3879440993997792e-4,0.008479372411141398,11001;30;3033;34;38;54677;549;5825;84129
GO:0110076,negative regulation of ferroptosis,19,6,0.005042016806722689,8.028055942874044e-4,2.4580894166638487e-4,0.008572586840615173,112399;23657;29968;3162;47;815
GO:0007584,response to nutrient,53,10,0.008403361344537815,0.002239405078801707,2.6865733357769807e-4,0.009205048639951655,1277;210;2642;3158;340024;3485;5465;56477;6569;7412
GO:0051384,response to glucocorticoid,44,9,0.007563025210084034,0.0018591287446655682,2.869398200365763e-4,0.009661956353990232,210;2805;3158;3485;3931;4192;595;7349;7477
GO:0006955,immune response,492,43,0.03613445378151261,0.020788439599442262,3.2502347217880915e-4,0.010758827816359564,1051;10561;1235;1241;146850;1512;1524;2113;27040;2826;2829;2919;2920;3111;3113;3115;3117;3120;3122;3133;3559;3566;3588;432;5008;5168;5175;5553;563;56477;567;57817;6356;6367;6374;6590;7049;715;729230;8740;8809;944;9447
GO:0035725,sodium ion transmembrane transport,144,18,0.015126050420168067,0.006084421346178223,3.3502371172162336e-4,0.010800331783029901,10050;10246;159963;340024;476;481;57835;6326;6328;6329;6330;6531;6546;6561;6568;83959;92745;9498
GO:0000086,G2/M transition of mitotic cell cycle,45,9,0.007563025210084034,0.0019013816706806947,3.4284236429554387e-4,0.010800331783029901,1018;11200;2305;332;5243;5347;890;9833;995
GO:0032355,response to estradiol,75,12,0.010084033613445379,0.003168969451134491,3.428676756517429e-4,0.010800331783029901,10095;1277;2026;2146;3248;3485;595;655;6569;7349;847;890
GO:0042742,defense response to bacterium,134,17,0.014285714285714285,0.005661892086026957,4.069770323493092e-4,0.012397617391547865,1051;10616;1113;219972;22861;254773;3934;4069;5553;55876;57817;6464;6556;6590;7098;837;9636
GO:0071526,semaphorin-plexin signaling pathway,46,9,0.007563025210084034,0.001943634596695821,4.074327539314064e-4,0.012397617391547865,1906;23616;3791;54437;55558;56920;57556;8829;9037
GO:0045214,sarcomere organization,37,8,0.0067226890756302525,0.0015633582625596823,4.1769967468652345e-4,0.012397617391547865,4607;51804;58529;7138;7139;7273;88;91807
GO:0007156,homophilic cell-cell adhesion,172,20,0.01680672268907563,0.0072675032746017665,4.2291624337138697e-4,0.012397617391547865,1003;1004;1008;1012;1014;1016;1951;199731;2196;27253;3897;5098;51294;5175;57453;60437;634;64403;83872;999
GO:1901224,positive regulation of non-canonical NF-kappaB signal transduction,56,10,0.008403361344537815,0.0023661638568470865,4.279638881602795e-4,0.012397617391547865,10616;177;1906;4306;64922;84675;84868;8740;8809;8877
GO:0035589,G protein-coupled purinergic nucleotide receptor signaling pathway,14,5,0.004201680672268907,5.915409642117716e-4,4.357414497931721e-4,0.012397617391547865,2857;286530;5028;53829;64805
GO:0007417,central nervous system development,135,17,0.014285714285714285,0.005704145012042084,4.442262087376817e-4,0.012397617391547865,127343;145864;1592;2016;29114;5080;53358;5629;56923;57453;6457;686;7368;7546;7915;79228;8506
GO:0006805,xenobiotic metabolic process,111,15,0.012605042016806723,0.004690074787679047,4.443590462920382e-4,0.012397617391547865,100;10249;10864;1573;1576;1592;1645;2329;27233;316;5243;54578;670;8856;9153
GO:0035924,cellular response to vascular endothelial growth factor stimulus,29,7,0.0058823529411764705,0.0012253348544386698,4.6966994796628466e-4,0.012739797338585471,2321;3791;5587;57556;7412;8829;8877
GO:0070830,bicellular tight junction assembly,29,7,0.0058823529411764705,0.0012253348544386698,4.6966994796628466e-4,0.012739797338585471,1003;100506658;143098;5175;79778;79977;91862
GO:0007596,blood coagulation,89,13,0.010924369747899159,0.003760510415346263,4.92790113684492e-4,0.013183823178435795,2157;5028;5051;51129;5328;5329;5340;5627;64805;7450;8858;9002;948
GO:0000082,G1/S transition of mitotic cell cycle,68,11,0.009243697478991597,0.002873198969028605,5.439336322610945e-4,0.014164031784078901,1018;10309;1033;1978;586;595;815;890;899;9133;9134
GO:0031667,response to nutrient levels,68,11,0.009243697478991597,0.002873198969028605,5.439336322610945e-4,0.014164031784078901,102724560;1277;1582;173;210;2203;3934;4914;5629;6344;875
GO:0001503,ossification,79,12,0.010084033613445379,0.0033379811551949973,5.589579550993602e-4,0.014363748504066453,10312;1277;1749;1956;22904;285313;649;655;6569;7291;91851;9260
GO:0035556,intracellular signal transduction,477,41,0.034453781512605045,0.020154645709215362,6.172071526635427e-4,0.015491546684538806,10451;10718;108;120892;121268;127495;1606;1607;177;1906;26118;27040;2887;2919;3162;3718;4192;50507;50650;5330;5334;53358;5502;55635;5587;5600;56924;57580;6101;637;6464;6494;660;699;7039;7049;7098;7786;81617;828;8877
GO:0051310,metaphase chromosome alignment,15,5,0.004201680672268907,6.337938902268982e-4,6.26642185396091e-4,0.015491546684538806,10403;1062;1063;11004;220134
GO:0051315,attachment of mitotic spindle microtubules to kinetochore,15,5,0.004201680672268907,6.337938902268982e-4,6.26642185396091e-4,0.015491546684538806,10403;1062;11004;220134;83540
GO:0007080,mitotic metaphase chromosome alignment,49,9,0.007563025210084034,0.002070393374741201,6.636973843705764e-4,0.016202512395946698,1058;1062;11004;220134;29082;3833;55143;81930;9928
GO:0030041,actin filament polymerization,31,7,0.0058823529411764705,0.001309840706468923,7.24693245564879e-4,0.017473159365286525,11170;1730;23242;283;57580;79585;79778
GO:0001568,blood vessel development,23,6,0.005042016806722689,9.718172983479105e-4,7.693576590118194e-4,0.018206794329252488,1277;187;5080;5175;634;64220
GO:0007611,learning or memory,50,9,0.007563025210084034,0.0021126463007563275,7.737654528048932e-4,0.018206794329252488,1393;177;1956;2628;4311;4914;567;6356;7349
GO:0001938,positive regulation of endothelial cell proliferation,61,10,0.008403361344537815,0.0025774284869227193,8.636150148943126e-4,0.019395043175441867,10016;1012;283;3791;5587;5629;6356;7010;8829;9037
GO:0032722,positive regulation of chemokine production,41,8,0.0067226890756302525,0.0017323699666201885,8.649821842164493e-4,0.019395043175441867,177;2867;3162;3566;64170;7098;727;84868
GO:0046686,response to cadmium ion,16,5,0.004201680672268907,6.760468162420247e-4,8.73918996128461e-4,0.019395043175441867,1357;210;2805;6569;847
GO:0060586,multicellular organismal-level iron ion homeostasis,16,5,0.004201680672268907,6.760468162420247e-4,8.73918996128461e-4,0.019395043175441867,3162;57817;6556;7018;7036
GO:0090336,positive regulation of brown fat cell differentiation,16,5,0.004201680672268907,6.760468162420247e-4,8.73918996128461e-4,0.019395043175441867,222236;252995;5743;6495;655
GO:0099560,synaptic membrane adhesion,32,7,0.0058823529411764705,0.0013520936324840495,8.877644676702578e-4,0.01948094388044959,1004;1008;22854;23767;27253;8404;84628
