endpoint,n,events,nivolumab_vs_everolimus_hr,hr_ci_low,hr_ci_high,p_value
OS,250,191,0.6748248574160911,0.5063715555165822,0.8993170789818092,0.007270155262529313
PFS,250,222,0.7904550592270042,0.6048854608261465,1.032954569290184,0.08498585555554329
