rule,n_patients,n_reproducible,n_strict,n_high_confidence,retained,gained,lost
drop_multi,513,3320,516,19,ACADM;C1QTNF6;CLCN5;CRYL1;CYFIP2;DDC;GJB1;HHLA2;HIBCH;KL;KNTC1;LRBA;PANK1;PODXL;TCIRG1;TMEM140;TNIP1,EMCN;TEK,CADPS2;GRAMD1A;IFFO1;LTB4R;RBM47;TNFAIP2
first_barcode,517,3316,521,20,ACADM;C1QTNF6;CADPS2;CLCN5;CRYL1;CYFIP2;DDC;GJB1;HHLA2;HIBCH;KL;KNTC1;LRBA;PANK1;PODXL;TCIRG1;TMEM140;TNFAIP2;TNIP1,EMCN,GRAMD1A;IFFO1;LTB4R;RBM47
sum_counts,517,3320,525,19,ACADM;C1QTNF6;CADPS2;CLCN5;CRYL1;CYFIP2;DDC;GJB1;HHLA2;HIBCH;KL;KNTC1;LRBA;PANK1;PODXL;TCIRG1;TMEM140;TNFAIP2;TNIP1,,GRAMD1A;IFFO1;LTB4R;RBM47
