source_file,commit,url,bytes,md5
tumour_tpm.rds,3fefd80afe33cafc091b3154dbd32d8c27b92c81,https://raw.githubusercontent.com/sanroman-24/tx100_rna_2024/3fefd80afe33cafc091b3154dbd32d8c27b92c81/data/processed/tumour_tpm.rds,35530712,fe911feb4b6a2593d097eba58a2d8b05
tx_annotation.tsv,3fefd80afe33cafc091b3154dbd32d8c27b92c81,https://raw.githubusercontent.com/sanroman-24/tx100_rna_2024/3fefd80afe33cafc091b3154dbd32d8c27b92c81/data/meta/tx_annotation.tsv,44284,c849fa86e77540d3caa4ec97fdd28ac8
TRACERx_s1_1_clinical.txt,3fefd80afe33cafc091b3154dbd32d8c27b92c81,https://raw.githubusercontent.com/sanroman-24/tx100_rna_2024/3fefd80afe33cafc091b3154dbd32d8c27b92c81/data/meta/TRACERx_s1_1_clinical.txt,13842,b3df423edab09ecd0045d411fc906db7
