tcga_gene_id,folds,ensembl,symbol
ENSG00000055163.20,22,ENSG00000055163,CYFIP2
ENSG00000114455.13,11,ENSG00000114455,HHLA2
ENSG00000165475.15,9,ENSG00000165475,CRYL1
ENSG00000163071.11,2,ENSG00000163071,SPATA18
ENSG00000163399.16,1,ENSG00000163399,ATP1A1
ENSG00000132437.18,1,ENSG00000132437,DDC
ENSG00000132837.15,1,ENSG00000132837,DMGDH
ENSG00000159147.18,1,ENSG00000159147,DONSON
ENSG00000133116.8,1,ENSG00000133116,KL
ENSG00000166415.15,1,ENSG00000166415,WDR72
