symbol,tcga_gene_id,repeats_modeled,main_screen_frequency,selection_frequency,median_log_hr,log_hr_iqr,full_main_log_hr,frozen_high_confidence,full_fit_direction_agreement
KCNIP1,ENSG00000182132.14,20,0,0,0.0969098180645063,0.04453106381571688,0.08233846767950423,FALSE,TRUE
KCNJ1,ENSG00000151704.16,20,0,0,0.04972843064059567,0.04935878733482429,0.04423299873808944,FALSE,TRUE
KCNJ10,ENSG00000177807.10,20,0,0,0.08428631712007872,0.038477340878939156,0.06799780955093981,FALSE,TRUE
KCNJ12,ENSG00000184185.10,20,0,0,-0.011836857680019675,0.03601088162229193,-0.03488085951876722,FALSE,TRUE
KCNJ13,ENSG00000115474.7,20,0,0,0.10370736685616419,0.03984673210697792,0.09237291980268932,FALSE,TRUE
KCNJ15,ENSG00000157551.19,20,0,0,-0.32200829199669834,0.03639345397718208,-0.31658874318683483,FALSE,TRUE
KCNJ16,ENSG00000153822.14,20,0,0,-0.298152110810572,0.050278717040296794,-0.304586777188335,FALSE,TRUE
KCNJ2,ENSG00000123700.5,20,0,0,-0.004161580874349621,0.06408766335056199,0.00656659622149576,FALSE,FALSE
KCNK10,ENSG00000100433.16,20,0,0,-0.21082330518659761,0.03544046313762003,-0.2217249598682546,FALSE,TRUE
KCNK13,ENSG00000152315.5,20,0,0,-0.042727969430304685,0.04231945934783794,-0.06107344677283434,FALSE,TRUE
KCNK3,ENSG00000171303.7,20,0,0,-0.17387876691989412,0.06167075692329338,-0.16533818225638777,FALSE,TRUE
KCNMA1,ENSG00000156113.24,20,0,0,-0.15518214846456685,0.0682552481654907,-0.1672050691868733,FALSE,TRUE
KCNMB1,ENSG00000145936.9,20,0,0,-0.00747491233435019,0.03539478658684395,9.603579401538554e-4,FALSE,FALSE
KCNMB2,ENSG00000197584.12,20,0,0,0.13276707567284707,0.04435683641716037,0.1351443429659018,FALSE,TRUE
KCNN1,ENSG00000105642.15,20,0,0,0.029138513774630195,0.03963943353330649,0.01024624573859907,FALSE,TRUE
KCNN4,ENSG00000104783.14,20,0,0,0.33275529581522634,0.08049868569312779,0.3205648820136266,FALSE,TRUE
KCNQ1,ENSG00000053918.18,20,0,0,-0.05555013314655079,0.09381595524033554,-0.05605133879577478,FALSE,TRUE
KCNV1,ENSG00000164794.9,20,0,0,-0.1861222518010243,0.04970613394084955,-0.1713757116032145,FALSE,TRUE
KCTD1,ENSG00000134504.14,20,0,0,0.161636309260114,0.06412450375370093,0.14818847299291257,FALSE,TRUE
KHDRBS2,ENSG00000112232.10,20,0,0,0.1471346835664435,0.051591280612315354,0.12726834786562205,FALSE,TRUE
KIAA0319,ENSG00000137261.14,20,0,0,-0.0043920025859027515,0.05548329707426993,-0.01761363593981958,FALSE,TRUE
KIAA0408,ENSG00000189367.15,20,0,0,0.05448889434163426,0.03957839348098306,0.05368873426940641,FALSE,TRUE
KIAA1210,ENSG00000250423.2,20,0,0,0.006538488934087898,0.058283835693205895,0.00274981798874893,FALSE,TRUE
KIF13B,ENSG00000197892.13,20,0,0,-0.29603206818145567,0.0577487309272845,-0.3008748245960213,FALSE,TRUE
KIF15,ENSG00000163808.17,20,0,0,0.222537884660724,0.05995428878912981,0.21528450646534117,FALSE,TRUE
KIF18A,ENSG00000121621.7,20,0,0,0.2940464434388209,0.06489398647692268,0.284536041005169,FALSE,TRUE
KIF21B,ENSG00000116852.15,20,0,0,0.07167309222829135,0.048302848483406116,0.0771912682643851,FALSE,TRUE
KIF25,ENSG00000125337.19,20,0,0,0.18823239359496322,0.046632880895750656,0.19210844001293712,FALSE,TRUE
KIF5A,ENSG00000155980.13,20,0,0,0.3087583687794543,0.08942674765562786,0.2859489549039688,FALSE,TRUE
KIF6,ENSG00000164627.18,20,0,0,0.018127541960924382,0.05254895173325643,2.550575188970415e-4,FALSE,TRUE
KIFC1,ENSG00000237649.8,20,0,0,0.26074626610875473,0.05456820854118877,0.2659059863362811,FALSE,TRUE
KIR2DL4,ENSG00000189013.14,20,0,0,-0.010358777357051275,0.04925260018120915,-0.00496139337898312,FALSE,TRUE
KIR3DL1,ENSG00000167633.18,20,0,0,-0.17490671877105218,0.061789323714842276,-0.15204972874213285,FALSE,TRUE
KIRREL2,ENSG00000126259.20,20,0,0,0.14863422241416474,0.04191254474902131,0.15247085330861665,FALSE,TRUE
KISS1R,ENSG00000116014.10,20,0,0,-0.06099564472577107,0.05287644716663081,-0.06698823445706815,FALSE,TRUE
KITLG,ENSG00000049130.16,20,0,0,-0.1215636910294013,0.08927917421795288,-0.1337247291605226,FALSE,TRUE
KLC3,ENSG00000104892.17,20,0,0,0.2334044952233309,0.03364025265988316,0.2147774476130956,FALSE,TRUE
KLF5,ENSG00000102554.14,20,0,0,-0.15291837798080338,0.05531047997710502,-0.144668011861824,FALSE,TRUE
KLF8,ENSG00000102349.18,20,0,0,-0.023876604705083508,0.050158611871723185,-0.0115062931522222,FALSE,TRUE
KLHDC7A,ENSG00000179023.8,20,0,0,-0.26137131572448513,0.05070782831393647,-0.27121727373008603,FALSE,TRUE
KLHDC8A,ENSG00000162873.15,20,0,0,0.12490005315869207,0.04596488886897547,0.12184865350488558,FALSE,TRUE
KLHL1,ENSG00000150361.12,20,0,0,0.07699207436220183,0.042393831936005336,0.09085624523490073,FALSE,TRUE
KLHL14,ENSG00000197705.10,20,0,0,0.16191990935944053,0.05497368799432137,0.1405749877157125,FALSE,TRUE
KLHL21,ENSG00000162413.16,20,0,0,-0.07599636473892112,0.06668228238414652,-0.06504071970393863,FALSE,TRUE
KLHL3,ENSG00000146021.15,20,0,0,0.27531703792994644,0.0630848256197779,0.25915262456890326,FALSE,TRUE
KLHL6,ENSG00000172578.12,20,0,0,0.008727375351851488,0.07017047175415522,-9.780056157359966e-4,FALSE,FALSE
KLHL8,ENSG00000145332.14,20,0,0,-0.27672312562761997,0.06894183007672516,-0.283665427355789,FALSE,TRUE
KLK1,ENSG00000167748.11,20,0,0,0.18065489580930838,0.04251461716708951,0.18071962114522647,FALSE,TRUE
KLK5,ENSG00000167754.13,20,0,0,0.10747508015690782,0.05900692950347722,0.09631442934879574,FALSE,TRUE
KLK6,ENSG00000167755.15,20,0,0,0.008658802694415322,0.04900115904232453,0.00461412395534321,FALSE,TRUE
KLK7,ENSG00000169035.12,20,0,0,0.017843978454627672,0.05368575136839228,0.00941169768025363,FALSE,TRUE
KLRB1,ENSG00000111796.4,20,0,0,-0.157854443231741,0.07450170235110676,-0.1609123910800435,FALSE,TRUE
KLRC1,ENSG00000134545.14,20,0,0,-0.009667588407557862,0.05707986592051005,0.00762020116055672,FALSE,FALSE
KLRC3,ENSG00000205810.9,20,0,0,-0.039024024098533984,0.06381017462952623,-0.02786893426389598,FALSE,TRUE
KLRD1,ENSG00000134539.17,20,0,0,0.03421642016802273,0.0690478173761807,0.02677760606675288,FALSE,TRUE
KLRG2,ENSG00000188883.5,20,0,0,0.147607158990504,0.04616756893754348,0.1303479872292912,FALSE,TRUE
KNDC1,ENSG00000171798.18,20,0,0,0.059911373232261075,0.07157676381920325,0.03411597710754238,FALSE,TRUE
KNG1,ENSG00000113889.14,20,0,0,0.10532005364467029,0.0696159418318131,0.1095448589221439,FALSE,TRUE
KRT222,ENSG00000213424.9,20,0,0,0.2981365282982,0.038645657649062304,0.28367860901939385,FALSE,TRUE
KRT23,ENSG00000108244.17,20,0,0,0.15136581676906863,0.023029867848354008,0.14423917253480747,FALSE,TRUE
KRT40,ENSG00000204889.10,20,0,0,0.19856268822625034,0.090771223082696,0.18296961528947817,FALSE,TRUE
KRT7,ENSG00000135480.16,20,0,0,0.057195602176058555,0.05065091864585054,0.04083933255949997,FALSE,TRUE
KRT72,ENSG00000170486.11,20,0,0,0.07246787840600383,0.07579370433575028,0.09197289290604373,FALSE,TRUE
KRT85,ENSG00000135443.8,20,0,0,0.00904997320642293,0.0450408976513809,0.00522715067459166,FALSE,TRUE
KRT86,ENSG00000170442.12,20,0,0,-0.014644868168672949,0.06691332499617912,0.00247819937991812,FALSE,FALSE
KRTAP17-1,ENSG00000186860.5,20,0,0,-0.06091071841734377,0.06675914433970084,-0.06397945147609597,FALSE,TRUE
KSR1,ENSG00000141068.14,20,0,0,-0.18995474972241627,0.05735444287973099,-0.18438960768777052,FALSE,TRUE
KSR2,ENSG00000171435.14,20,0,0,-0.0960016673382808,0.057512084487094654,-0.09144493008178346,FALSE,TRUE
L1CAM,ENSG00000198910.14,20,0,0,0.31147055917924016,0.045625990982924025,0.2930243359063054,FALSE,TRUE
L2HGDH,ENSG00000087299.12,20,0,0,-0.1482453869551846,0.09170260481229676,-0.15599585979048053,FALSE,TRUE
LAD1,ENSG00000159166.15,20,0,0,0.06688145494092101,0.04170314146381257,0.05045949730166707,FALSE,TRUE
LAG3,ENSG00000089692.9,20,0,0,0.08572799635606704,0.05526114228448392,0.08601114200428986,FALSE,TRUE
