metric,value
emtab1980_samples,101
emtab1980_events,23
tested_candidates,24
platform_present_candidates,23
same_direction_candidates,20
same_direction_nominal_candidates,14
same_direction_fdr_candidates,14
same_direction_adjusted_nominal_candidates,13
same_direction_adjusted_fdr_candidates,12
proportional_hazards_pass_candidates,16
adjusted_proportional_hazards_pass_candidates,19
strict_external_support_candidates,8
opposite_direction_nominal_candidates,0
