rule,rank,symbol,cohort,present,log_hr,p_value,same_direction,fdr
complete_rule,1,CYFIP2,GSE29609,TRUE,0.35907083247409527,0.16464952961916585,FALSE,0.2900006794950186
complete_rule,2,CRYL1,GSE29609,TRUE,0.34405317944990815,0.13858476524664073,FALSE,0.2900006794950186
complete_rule,3,HHLA2,GSE29609,TRUE,0.4514257351737937,0.09482324743453878,FALSE,0.27250814504945836
complete_rule,4,DDC,GSE29609,TRUE,0.8301386856599177,0.0020423596773671577,FALSE,0.020423596773671577
complete_rule,5,KL,GSE29609,FALSE,NA,NA,NA,NA
complete_rule,6,RBM47,GSE29609,TRUE,0.5558203907609339,0.01346382245867701,FALSE,0.08975881639118007
complete_rule,7,PANK1,GSE29609,TRUE,0.3246128267607624,0.20300047564651302,FALSE,0.2900006794950186
complete_rule,8,GJB1,GSE29609,TRUE,-0.06416747452303483,0.8277708220987942,TRUE,0.8713377074724149
complete_rule,9,ACADM,GSE29609,TRUE,0.3741311786226243,0.09537785076731042,FALSE,0.27250814504945836
complete_rule,10,CLCN5,GSE29609,TRUE,0.5220036332117834,0.035113841899140116,FALSE,0.1755692094957006
complete_rule,11,TMEM140,GSE29609,TRUE,0.14466109252650103,0.5327892127650584,FALSE,0.6178336722450867
complete_rule,12,C1QTNF6,GSE29609,TRUE,-0.3867307601447098,0.15515054425727928,FALSE,0.2900006794950186
complete_rule,13,CADPS2,GSE29609,TRUE,-0.33808531497175026,0.19489064731032255,TRUE,0.2900006794950186
complete_rule,14,KNTC1,GSE29609,TRUE,-0.25794274703216596,0.30146490555488525,FALSE,0.40195320740651364
complete_rule,15,PODXL,GSE29609,TRUE,0.19689746508539877,0.36541243235677684,FALSE,0.45676554044597106
complete_rule,16,HIBCH,GSE29609,TRUE,0.2855619338449482,0.19960101643505565,FALSE,0.2900006794950186
complete_rule,17,TNIP1,GSE29609,TRUE,0.40202737908897784,0.12644342085429178,FALSE,0.2900006794950186
complete_rule,18,TCIRG1,GSE29609,TRUE,-0.7659006109987655,0.0010560811002724231,FALSE,0.020423596773671577
complete_rule,19,LTB4R,GSE29609,TRUE,0.17187667916761845,0.556050305020578,TRUE,0.6178336722450867
