repeat_id,clinical_c,signature_c,delta_c,clinical_brier3,signature_brier3,delta_brier3,clinical_slope,signature_slope
1,0.7399521531100478,0.7495215311004785,0.009569377990430672,0.1501395563452076,0.14545828458468987,-0.004681271760517719,0.8267686285944591,0.7946535601700669
2,0.749815973500184,0.763617960986382,0.013801987486197986,0.14861237069059052,0.1432308834496513,-0.005381487240939231,0.9187124712472395,0.9021186883078629
3,0.7414979757085021,0.7552999631947,0.013801987486197986,0.14787672135669286,0.1436942109208258,-0.004182510435867065,0.8935946682923819,0.8056926835411774
4,0.7356275303643725,0.7520610967979389,0.016433566433566416,0.1500918681152765,0.14511496792602965,-0.004976900189246847,0.7830886721685502,0.7809867078430357
5,0.7446448288553552,0.7600294442399705,0.01538461538461533,0.14988658091942292,0.1449055526205084,-0.0049810282989145305,0.8586179788922745,0.8607021340558411
6,0.7370997423629002,0.7492270887007729,0.012127346337872713,0.150959882262014,0.1454529964507662,-0.005506885811247808,0.740179487958015,0.7398049535258288
7,0.7520426941479573,0.7669120353330879,0.014869341185130613,0.14909571997806786,0.14477962268764372,-0.004316097290424148,0.9178037821360564,0.9001037215496713
8,0.7465403018034598,0.758225984541774,0.011685682738314274,0.14782069797851183,0.14348498821461986,-0.004335709763891971,0.9044363503661962,0.8781991786788909
9,0.7365844681634155,0.7421604711078396,0.005576002944424063,0.1489730242480569,0.14584040781270544,-0.003132616435351454,0.803124802885774,0.7654975971143916
10,0.7518402649981597,0.7671328671328672,0.015292602134707511,0.1492496040611361,0.14474747251159711,-0.00450213154953899,0.9240951377894367,0.8817873989534288
